;num_cli;connexion_mois;source_web;typ_client;montant_credit;anciennete;utilisation_credit;logmt;sitfam;dept;tr_age;revfyr;assurance
7099;7100;5-10;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;ile-de-France;26-35 ans;2000 a 2999;?
7118;7119;>11;Referencement;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Centre;36-45 ans;manquant;?
7119;7120;5-10;Referencement;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Bourgogne;36-45 ans;1000 a 1499;?
7128;7129;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;NR;Alsace;26-35 ans;manquant;?
7129;7130;5-10;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;ile-de-France;26-35 ans;1500 a 1999;?
7162;7163;>11;Marketing;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Picardie;56-65 ans;1500 a 1999;?
7163;7164;>11;Recherche directe;Pas client ou ancien client;?;?;?;proprietaire;Divorce - separe - Veuf;Languedoc-Roussillon;56-65 ans;1500 a 1999;?
7164;7165;>11;Referencement;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Nord-Pas-de-Calais;26-35 ans;manquant;?
7170;7171;>11;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;NR;Haute-Normandie;26-35 ans;manquant;?
7194;7195;>11;Marketing;Pas client ou ancien client;?;?;?;proprietaire;Celibataire;Aquitaine;36-45 ans;1500 a 1999;?
7229;7230;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Languedoc-Roussillon;26-35 ans;manquant;?
7239;7240;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Alsace;46-55 ans;2000 a 2999;?
7255;7256;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Nord-Pas-de-Calais;36-45 ans;2000 a 2999;?
7257;7258;>11;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Champagne-Ardenne;36-45 ans;1000 a 1499;?
7260;7261;<4;Referencement;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Bretagne;46-55 ans;2000 a 2999;?
7269;7270;5-10;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Nord-Pas-de-Calais;26-35 ans;< 1000;?
7295;7296;5-10;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Lorraine;26-35 ans;manquant;?
7306;7307;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Franche-Comte;46-55 ans;< 1000;?
7308;7309;>11;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Alsace;36-45 ans;3000 a 3999;?
7309;7310;>11;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Champagne-Ardenne;>66;manquant;?
7322;7323;5-10;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;NR;Basse-Normandie;26-35 ans;manquant;?
7340;7341;>11;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Provence-Alpes-Côte-Azur;18-25 ans;< 1000;?
7342;7343;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Provence-Alpes-Côte-Azur;46-55 ans;>4000;?
7354;7355;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;ile-de-France;26-35 ans;1500 a 1999;?
7370;7371;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;ile-de-France;46-55 ans;1500 a 1999;?
7373;7374;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Champagne-Ardenne;36-45 ans;1000 a 1499;?
7376;7377;5-10;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Basse-Normandie;56-65 ans;< 1000;?
7428;7429;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Haute-Normandie;26-35 ans;1500 a 1999;?
7435;7436;>11;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;ile-de-France;26-35 ans;manquant;?
7442;7443;<4;Referencement;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;ile-de-France;36-45 ans;>4000;?
7449;7450;<4;Recherche directe;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Corse;>66;1000 a 1499;?
7456;7457;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Basse-Normandie;26-35 ans;manquant;?
7469;7470;>11;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Haute-Normandie;26-35 ans;1500 a 1999;?
7473;7474;<4;Referencement;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Lorraine;36-45 ans;1500 a 1999;?
7496;7497;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;ile-de-France;26-35 ans;1500 a 1999;?
7511;7512;5-10;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Midi-Pyrenees;46-55 ans;manquant;?
7544;7545;>11;Recherche directe;Pas client ou ancien client;?;?;?;proprietaire;Divorce - separe - Veuf;Midi-Pyrenees;46-55 ans;1500 a 1999;?
7605;7606;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Rhône-Alpes;26-35 ans;2000 a 2999;?
7612;7613;>11;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;ile-de-France;26-35 ans;1000 a 1499;?
7614;7615;5-10;Referencement;Pas client ou ancien client;?;?;?;Locataire;NR;Midi-Pyrenees;46-55 ans;manquant;?
7640;7641;5-10;Marketing;Pas client ou ancien client;?;?;?;proprietaire;Divorce - separe - Veuf;Alsace;46-55 ans;1500 a 1999;?
7668;7669;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Nord-Pas-de-Calais;36-45 ans;3000 a 3999;?
7679;7680;5-10;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Rhône-Alpes;56-65 ans;manquant;?
7713;7714;5-10;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;ile-de-France;26-35 ans;1500 a 1999;?
7724;7725;>11;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Poitou-Charentes;26-35 ans;2000 a 2999;?
7728;7729;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;ile-de-France;46-55 ans;2000 a 2999;?
7749;7750;>11;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Rhône-Alpes;36-45 ans;manquant;?
7754;7755;5-10;Marketing;Pas client ou ancien client;?;?;?;proprietaire;Divorce - separe - Veuf;Poitou-Charentes;46-55 ans;>4000;?
7758;7759;5-10;Recherche directe;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Picardie;46-55 ans;>4000;?
7759;7760;5-10;Marketing;Pas client ou ancien client;?;?;?;Locataire;NR;ile-de-France;18-25 ans;manquant;?
7802;7803;>11;Recherche directe;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Centre;36-45 ans;2000 a 2999;?
7804;7805;5-10;Referencement;Pas client ou ancien client;?;?;?;Locataire;NR;Franche-Comte;18-25 ans;manquant;?
7826;7827;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Picardie;46-55 ans;2000 a 2999;?
7828;7829;5-10;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;ile-de-France;26-35 ans;1000 a 1499;?
7832;7833;5-10;Marketing;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;ile-de-France;26-35 ans;manquant;?
7834;7835;>11;Marketing;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Basse-Normandie;46-55 ans;1000 a 1499;?
7841;7842;5-10;Marketing;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Bourgogne;36-45 ans;3000 a 3999;?
7847;7848;5-10;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Pays de Loire;36-45 ans;< 1000;?
7848;7849;>11;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Rhône-Alpes;26-35 ans;2000 a 2999;?
7866;7867;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Bourgogne;18-25 ans;manquant;?
7875;7876;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Haute-Normandie;26-35 ans;2000 a 2999;?
7876;7877;>11;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Pays de Loire;36-45 ans;2000 a 2999;?
7889;7890;5-10;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;ile-de-France;46-55 ans;1500 a 1999;?
7897;7898;>11;Recherche directe;Pas client ou ancien client;?;?;?;proprietaire;Celibataire;Languedoc-Roussillon;46-55 ans;2000 a 2999;?
7898;7899;5-10;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Rhône-Alpes;26-35 ans;1000 a 1499;?
7903;7904;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Provence-Alpes-Côte-Azur;26-35 ans;manquant;?
7938;7939;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Provence-Alpes-Côte-Azur;26-35 ans;< 1000;?
7944;7945;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;ile-de-France;56-65 ans;2000 a 2999;?
7946;7947;<4;Marketing;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Lorraine;26-35 ans;3000 a 3999;?
7947;7948;5-10;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Basse-Normandie;26-35 ans;3000 a 3999;?
7967;7968;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Rhône-Alpes;36-45 ans;3000 a 3999;?
7971;7972;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Nord-Pas-de-Calais;26-35 ans;2000 a 2999;?
8017;8018;<4;Referencement;Pas client ou ancien client;?;?;?;Locataire;Celibataire;ile-de-France;26-35 ans;1000 a 1499;?
8029;8030;5-10;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Nord-Pas-de-Calais;26-35 ans;1500 a 1999;?
8031;8032;<4;Referencement;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Nord-Pas-de-Calais;56-65 ans;< 1000;?
8043;8044;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Centre;36-45 ans;manquant;?
8051;8052;5-10;Marketing;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Alsace;>66;1500 a 1999;?
8069;8070;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Bourgogne;26-35 ans;manquant;?
8073;8074;>11;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Centre;36-45 ans;2000 a 2999;?
8084;8085;<4;Referencement;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Rhône-Alpes;46-55 ans;2000 a 2999;?
8096;8097;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Rhône-Alpes;36-45 ans;2000 a 2999;?
8106;8107;5-10;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Rhône-Alpes;36-45 ans;1500 a 1999;?
8164;8165;5-10;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Rhône-Alpes;36-45 ans;1500 a 1999;?
8176;8177;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;ile-de-France;36-45 ans;1500 a 1999;?
8202;8203;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Centre;36-45 ans;1500 a 1999;?
8219;8220;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Provence-Alpes-Côte-Azur;26-35 ans;1000 a 1499;?
8246;8247;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;ile-de-France;36-45 ans;3000 a 3999;?
8272;8273;>11;Recherche directe;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Nord-Pas-de-Calais;>66;>4000;?
8300;8301;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Bretagne;26-35 ans;manquant;?
8309;8310;5-10;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;NR;Basse-Normandie;18-25 ans;manquant;?
8323;8324;<4;Recherche directe;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Bretagne;46-55 ans;1000 a 1499;?
8333;8334;>11;Marketing;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Centre;36-45 ans;1500 a 1999;?
8343;8344;5-10;Marketing;Pas client ou ancien client;?;?;?;proprietaire;Divorce - separe - Veuf;ile-de-France;56-65 ans;>4000;?
8346;8347;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Aquitaine;26-35 ans;1500 a 1999;?
8351;8352;5-10;Recherche directe;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;ile-de-France;36-45 ans;2000 a 2999;?
8353;8354;<4;Recherche directe;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Bourgogne;36-45 ans;1000 a 1499;?
8364;8365;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Midi-Pyrenees;26-35 ans;1000 a 1499;?
8370;8371;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Provence-Alpes-Côte-Azur;26-35 ans;1000 a 1499;?
8376;8377;5-10;Referencement;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Midi-Pyrenees;36-45 ans;3000 a 3999;?
8402;8403;<4;Referencement;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Haute-Normandie;18-25 ans;manquant;?
8408;8409;<4;Referencement;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Alsace;36-45 ans;3000 a 3999;?
8443;8444;<4;Recherche directe;Pas client ou ancien client;?;?;?;proprietaire;Celibataire;Languedoc-Roussillon;46-55 ans;1500 a 1999;?
8459;8460;5-10;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Midi-Pyrenees;56-65 ans;manquant;?
8466;8467;>11;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;ile-de-France;36-45 ans;2000 a 2999;?
8473;8474;5-10;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Haute-Normandie;46-55 ans;2000 a 2999;?
8484;8485;>11;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;ile-de-France;26-35 ans;manquant;?
8486;8487;<4;Referencement;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Champagne-Ardenne;26-35 ans;manquant;?
8497;8498;>11;Recherche directe;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Haute-Normandie;46-55 ans;1500 a 1999;?
8498;8499;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Pays de Loire;56-65 ans;2000 a 2999;?
8505;8506;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;ile-de-France;36-45 ans;1000 a 1499;?
8553;8554;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;NR;ile-de-France;36-45 ans;manquant;?
8585;8586;5-10;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Languedoc-Roussillon;18-25 ans;< 1000;?
8597;8598;>11;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;ile-de-France;26-35 ans;manquant;?
8599;8600;5-10;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Franche-Comte;26-35 ans;3000 a 3999;?
8625;8626;<4;Referencement;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Picardie;56-65 ans;1500 a 1999;?
8631;8632;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Auvergne;26-35 ans;2000 a 2999;?
8632;8633;5-10;Marketing;Pas client ou ancien client;?;?;?;Locataire;NR;ile-de-France;56-65 ans;manquant;?
8636;8637;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;ile-de-France;36-45 ans;2000 a 2999;?
8651;8652;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Nord-Pas-de-Calais;26-35 ans;< 1000;?
8668;8669;5-10;Referencement;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Pays de Loire;18-25 ans;1000 a 1499;?
8687;8688;5-10;Marketing;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Centre;36-45 ans;1000 a 1499;?
8698;8699;5-10;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Rhône-Alpes;36-45 ans;manquant;?
8699;8700;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;NR;ile-de-France;26-35 ans;manquant;?
8700;8701;<4;Referencement;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Lorraine;36-45 ans;3000 a 3999;?
8715;8716;<4;Recherche directe;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Languedoc-Roussillon;46-55 ans;3000 a 3999;?
8726;8727;5-10;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Midi-Pyrenees;56-65 ans;manquant;?
8745;8746;5-10;Marketing;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Poitou-Charentes;46-55 ans;3000 a 3999;?
8748;8749;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Basse-Normandie;36-45 ans;< 1000;?
8756;8757;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;ile-de-France;46-55 ans;1000 a 1499;?
8761;8762;5-10;Marketing;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Bourgogne;>66;>4000;?
8775;8776;5-10;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;ile-de-France;18-25 ans;1000 a 1499;?
8864;8865;<4;Referencement;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Aquitaine;36-45 ans;3000 a 3999;?
8873;8874;>11;Recherche directe;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Auvergne;36-45 ans;2000 a 2999;?
8882;8883;<4;Referencement;Pas client ou ancien client;?;?;?;Locataire;NR;Franche-Comte;46-55 ans;manquant;?
8889;8890;>11;Referencement;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Provence-Alpes-Côte-Azur;56-65 ans;2000 a 2999;?
8897;8898;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Bretagne;18-25 ans;manquant;?
8900;8901;>11;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Alsace;46-55 ans;1000 a 1499;?
8908;8909;<4;Recherche directe;Pas client ou ancien client;?;?;?;proprietaire;Celibataire;Languedoc-Roussillon;36-45 ans;3000 a 3999;?
8909;8910;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Centre;26-35 ans;manquant;?
8910;8911;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Haute-Normandie;26-35 ans;< 1000;?
8923;8924;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;ile-de-France;46-55 ans;2000 a 2999;?
8928;8929;5-10;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;NR;Pays de Loire;36-45 ans;manquant;?
8934;8935;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;ile-de-France;18-25 ans;2000 a 2999;?
8955;8956;>11;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Corse;36-45 ans;1500 a 1999;?
8980;8981;5-10;Recherche directe;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Bretagne;56-65 ans;>4000;?
8986;8987;5-10;Marketing;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Provence-Alpes-Côte-Azur;56-65 ans;3000 a 3999;?
8988;8989;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Aquitaine;26-35 ans;< 1000;?
9003;9004;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Aquitaine;36-45 ans;< 1000;?
9017;9018;<4;Recherche directe;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Bretagne;46-55 ans;>4000;?
9028;9029;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Provence-Alpes-Côte-Azur;46-55 ans;2000 a 2999;?
9038;9039;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Centre;26-35 ans;1000 a 1499;?
9046;9047;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Nord-Pas-de-Calais;26-35 ans;manquant;?
9047;9048;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Rhône-Alpes;>66;2000 a 2999;?
9060;9061;<4;Recherche directe;Pas client ou ancien client;?;?;?;proprietaire;Divorce - separe - Veuf;Languedoc-Roussillon;46-55 ans;1000 a 1499;?
9064;9065;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Nord-Pas-de-Calais;46-55 ans;2000 a 2999;?
9065;9066;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;ile-de-France;36-45 ans;3000 a 3999;?
9078;9079;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Rhône-Alpes;36-45 ans;1500 a 1999;?
9089;9090;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Lorraine;26-35 ans;1000 a 1499;?
9092;9093;<4;Referencement;Pas client ou ancien client;?;?;?;proprietaire;Celibataire;Midi-Pyrenees;36-45 ans;manquant;?
9095;9096;>11;Referencement;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Champagne-Ardenne;18-25 ans;manquant;?
9113;9114;<4;Referencement;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Bretagne;26-35 ans;3000 a 3999;?
9141;9142;<4;Recherche directe;Pas client ou ancien client;?;?;?;proprietaire;Divorce - separe - Veuf;Provence-Alpes-Côte-Azur;46-55 ans;>4000;?
9164;9165;<4;Referencement;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;ile-de-France;36-45 ans;>4000;?
9196;9197;<4;Marketing;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Bretagne;26-35 ans;1000 a 1499;?
9215;9216;>11;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Champagne-Ardenne;26-35 ans;2000 a 2999;?
9249;9250;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Midi-Pyrenees;46-55 ans;manquant;?
9259;9260;<4;Marketing;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Rhône-Alpes;36-45 ans;1000 a 1499;?
9350;9351;5-10;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Picardie;36-45 ans;1000 a 1499;?
9354;9355;5-10;Referencement;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Midi-Pyrenees;18-25 ans;1000 a 1499;?
9410;9411;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;ile-de-France;36-45 ans;< 1000;?
9434;9435;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Centre;18-25 ans;2000 a 2999;?
9443;9444;>11;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;ile-de-France;56-65 ans;2000 a 2999;?
9474;9475;5-10;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;ile-de-France;36-45 ans;manquant;?
9483;9484;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Haute-Normandie;36-45 ans;>4000;?
9488;9489;<4;Referencement;Pas client ou ancien client;?;?;?;proprietaire;Divorce - separe - Veuf;Aquitaine;36-45 ans;1000 a 1499;?
9491;9492;5-10;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Nord-Pas-de-Calais;36-45 ans;2000 a 2999;?
9496;9497;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;ile-de-France;26-35 ans;manquant;?
9515;9516;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;ile-de-France;46-55 ans;1500 a 1999;?
9518;9519;<4;Referencement;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Haute-Normandie;36-45 ans;>4000;?
9560;9561;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Rhône-Alpes;26-35 ans;1000 a 1499;?
9596;9597;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;ile-de-France;46-55 ans;manquant;?
9605;9606;5-10;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Bretagne;26-35 ans;manquant;?
9621;9622;>11;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Provence-Alpes-Côte-Azur;26-35 ans;1000 a 1499;?
9643;9644;>11;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Celibataire;ile-de-France;26-35 ans;1500 a 1999;?
9667;9668;5-10;Recherche directe;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Pays de Loire;36-45 ans;3000 a 3999;?
9689;9690;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Haute-Normandie;56-65 ans;3000 a 3999;?
9700;9701;>11;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;NR;Nord-Pas-de-Calais;36-45 ans;1500 a 1999;?
9708;9709;>11;Marketing;Pas client ou ancien client;?;?;?;Locataire;NR;ile-de-France;56-65 ans;manquant;?
9710;9711;5-10;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Centre;26-35 ans;1000 a 1499;?
9743;9744;5-10;Referencement;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Picardie;18-25 ans;1000 a 1499;?
9761;9762;<4;Referencement;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Rhône-Alpes;46-55 ans;2000 a 2999;?
9770;9771;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;Provence-Alpes-Côte-Azur;46-55 ans;3000 a 3999;?
9779;9780;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;ile-de-France;36-45 ans;1500 a 1999;?
9784;9785;>11;Marketing;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Centre;26-35 ans;2000 a 2999;?
9809;9810;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Marie - Union libre;Champagne-Ardenne;26-35 ans;3000 a 3999;?
9857;9858;<4;Recherche directe;Pas client ou ancien client;?;?;?;Locataire;Divorce - separe - Veuf;ile-de-France;36-45 ans;2000 a 2999;?
9859;9860;<4;Marketing;Pas client ou ancien client;?;?;?;Locataire;Celibataire;Languedoc-Roussillon;26-35 ans;1500 a 1999;?
9860;9861;<4;Recherche directe;Pas client ou ancien client;?;?;?;proprietaire;Marie - Union libre;Centre;36-45 ans;2000 a 2999;?
